	en_auto_sent_bleu	en_auto_bleu	en_auto_rogue	en_auto_meteor	en_auto_TER	en_auto_CHRF++	en_google_sent_bleu	en_google_bleu	en_google_rogue	en_google_meteor	en_google_TER	en_google_CHRF++	en_nllb_sent_bleu	en_nllb_bleu	en_nllb_rogue	en_nllb_meteor	en_nllb_TER	en_nllb_CHRF++	en_marian_sent_bleu	en_marian_bleu	en_marian_rogue	en_marian_meteor	en_marian_TER	en_marian_CHRF++
77	1.71	1.84	27.78	17.36	50	30.11	35.4	24.6	67.94	58.89	22	63.5	5.97	3.53	39.9	29.01	48	37.53	22.05	17.53	48.35	38.01	38	36.77
78	2.98	3.3	28.89	9.62	19	55.97	2.36	2.51	17.78	18.18	42	30.8	1.98	2.11	8.89	9.09	43	24.0	8.25	4.94	31.79	46.46	35	48.72
79	0.0	0.0	43.77	0.0	14	64.37	3.04	3.3	36.83	18.87	18	73.12	100.0	100.0	100.0	99.6	0	100.0	33.57	17.57	75.56	93.08	9	87.64
80	2.12	2.24	24.24	13.64	55	27.78	14.3	7.03	44.23	39.12	49	46.56	2.12	2.24	20.29	9.09	59	27.07	1.93	2.03	20.29	9.01	58	25.52
81	10.63	6.5	69.46	70.75	30	67.71	2.65	2.85	38.89	58.45	40	48.0	12.42	7.73	40.0	49.15	25	52.27	4.27	4.85	51.18	57.73	16	52.57
82	1.77	1.85	20.57	24.81	54	40.89	22.03	17.4	35.36	53.57	47	54.58	32.32	25.97	48.62	55.69	25	67.13	25.71	20.45	41.41	46.99	46	53.1
83	1.62	1.73	21.52	15.89	43	43.36	1.63	1.7	25.85	12.3	63	41.13	1.67	1.74	27.36	16.26	67	40.14	1.77	1.85	29.8	12.4	60	44.82
84	13.52	6.81	43.36	30.76	38	42.85	22.87	18.27	42.57	43.18	31	44.85	14.3	7.2	35.13	35.25	39	36.94	50.36	42.64	72.89	73.57	19	64.13
85	7.26	4.35	65.15	31.53	23	65.37	7.24	4.28	48.7	37.17	33	61.8	39.19	34.85	68.06	53.34	21	76.87	39.19	34.85	68.06	53.34	22	73.48
86	1.37	1.49	23.7	20.44	51	25.56	1.77	1.86	16.0	11.63	54	24.23	1.77	1.85	15.38	11.54	51	23.1	0.0	0.0	6.35	4.0	57	19.82
87	21.2	10.6	44.07	44.16	36	58.01	5.7	3.34	22.47	30.35	50	35.66	57.33	53.73	65.19	63.47	11	74.97	7.24	4.28	33.64	36.47	31	42.49
88	29.53	22.08	77.22	49.08	29	72.76	5.7	3.34	48.47	22.54	43	41.64	1.8	1.88	46.25	22.54	54	30.32	28.68	21.14	70.16	40.89	36	50.13
89	3.04	3.46	20.51	14.49	35	23.96	20.05	10.03	41.67	27.03	38	43.29	33.57	17.57	49.21	53.57	27	41.08	25.1	12.75	47.02	43.84	26	45.25
90	42.17	36.41	79.37	62.05	9	74.3	100.0	100.0	100.0	99.9	0	100.0	72.01	70.14	78.97	75.77	9	74.47	100.0	100.0	100.0	99.9	0	100.0
91	9.59	4.73	38.64	36.61	66	61.1	4.19	2.42	22.97	30.68	91	40.69	4.19	2.42	26.03	30.68	94	45.24	4.19	2.42	22.33	30.68	91	36.14
92	2.61	2.96	37.5	26.04	54	57.72	9.37	5.61	47.78	37.2	51	60.65	2.8	2.98	33.7	20.0	53	55.47	2.8	2.98	33.7	20.0	53	55.47
93	10.8	5.34	46.79	48.56	58	53.93	8.62	4.21	35.87	51.36	63	41.87	10.84	4.79	49.52	55.52	61	56.45	25.77	18.84	42.86	61.41	64	49.34
94	1.48	1.54	25.14	14.04	96	37.17	16.2	7.13	40.15	32.26	82	51.75	25.51	9.86	46.1	43.89	75	58.57	16.62	7.34	36.65	29.72	71	46.7
95	10.02	4.37	38.32	28.29	93	49.66	16.62	11.3	43.3	41.12	94	48.24	18.8	6.88	46.52	38.53	89	51.15	21.09	13.73	46.16	41.64	84	49.01
96	5.29	3.09	34.99	34.07	64	49.7	13.42	5.88	41.96	43.84	66	57.34	7.8	3.42	39.95	40.48	64	50.75	9.33	4.11	38.77	38.17	48	48.58
97	25.38	14.51	61.83	48.83	98	67.17	29.1	15.87	63.68	56.33	85	67.67	38.44	29.67	60.31	59.34	101	70.83	35.08	24.21	56.44	56.94	81	68.55
98	28.39	23.29	65.88	53.48	57	67.78	32.47	24.34	59.81	65.44	60	69.13	28.85	26.1	61.22	54.89	62	63.92	14.44	5.87	46.34	51.57	84	51.0
99	8.02	4.8	48.62	39.12	38	57.38	9.16	4.52	32.46	45.23	51	47.55	35.74	31.46	51.01	60.04	37	55.61	41.3	36.72	52.73	53.54	33	62.38
100	20.85	8.06	54.79	54.95	66	69.75	25.92	9.56	45.89	51.12	74	52.11	20.29	7.47	50.85	54.56	64	54.22	17.79	7.26	50.07	51.47	74	51.19
101	24.42	16.1	59.12	49.7	51	62.88	30.9	25.58	51.19	53.99	50	59.21	47.75	41.98	64.56	66.32	44	70.43	31.67	26.24	50.92	50.9	57	57.55
102	50.09	39.83	68.05	67.95	22	57.52	6.78	3.98	49.68	32.55	43	49.46	6.01	3.51	31.27	32.3	41	44.21	5.51	3.2	31.53	42.72	61	40.44
103	22.33	15.59	63.31	51.24	134	69.49	35.32	25.28	69.51	65.94	118	71.9	28.69	8.79	67.11	56.38	106	65.51	27.57	20.7	52.45	43.42	107	57.78
104	21.38	11.93	58.84	55.51	88	73.14	52.6	46.47	74.75	74.66	68	78.02	57.86	53.91	71.34	66.64	78	77.98	53.34	47.15	63.51	62.5	91	70.22
105	49.18	44.58	70.16	64.7	39	69.89	27.1	19.81	57.35	55.18	49	59.5	53.6	46.71	76.25	78.94	18	67.0	66.4	57.87	84.86	86.48	12	77.83
106	44.98	38.5	76.85	72.04	46	79.65	29.58	16.14	68.18	61.65	77	66.16	35.02	21.85	75.97	68.48	59	75.57	32.23	20.9	71.09	63.03	62	71.62
107	27.34	22.53	51.59	50.96	92	50.34	46.17	39.61	66.1	65.43	63	61.19	11.51	5.07	46.71	36.14	83	34.07	35.58	29.66	62.28	46.93	71	54.04
108	33.85	26.9	61.32	58.08	74	72.17	44.75	34.41	72.9	74.67	70	71.61	45.42	34.9	65.6	73.01	62	72.6	24.28	13.19	42.54	39.69	175	48.88
109	41.14	30.04	70.1	66.96	88	75.3	35.67	29.46	58.21	56.01	155	68.78	17.58	5.76	48.3	48.98	164	56.83	21.51	15.34	44.98	46.25	171	55.23
